filename,brand,doc_type,trade,agent_text_chunks,agent_visual_assets,ingest_status
Autex Deep Dive - Acoustic Timber Ceiling Tiles Manufacturers Guarantee.pdf,Autex,Technical_Manual,acoustic_timber,6,0,Text Only
Autex Deep Dive - Acoustic Timber Lookbook NZ.pdf,Autex,Technical_Manual,acoustic_timber,12,0,Text Only
Autex Deep Dive - Acoustic Timber Panel Data Sheet NZ.pdf,Autex,Technical_Data_Sheet,acoustic_timber,25,0,Text Only
Autex Deep Dive - Acoustic Timber Panel Install Instructions.pdf,Autex,Installation_Guide,acoustic_timber,43,0,Text Only
Autex Deep Dive - Acoustic Timber Panel Manufacturers Guarantee.pdf,Autex,Technical_Manual,acoustic_timber,17,0,Text Only
Autex Deep Dive - Acoustic Timber Raft Data Sheet NZ.pdf,Autex,Technical_Data_Sheet,acoustic_timber,30,0,Text Only
Autex Deep Dive - Acoustic Timber Raft Manufacturers Guarantee.pdf,Autex,Technical_Manual,acoustic_timber,9,0,Text Only
Autex Deep Dive - Care and Maintenance.pdf,Autex,Care_Guide,acoustic_general,21,0,Text Only
Autex Deep Dive - Cascade Data Sheet.pdf,Autex,Technical_Data_Sheet,acoustic_screens,32,0,Text Only
Autex Deep Dive - Cascade Installation Instructions.pdf,Autex,Installation_Guide,acoustic_screens,43,0,Text Only
Autex Deep Dive - Cascade Lookbook.pdf,Autex,CAD_Files,acoustic_screens,68,0,Text Only
Autex Deep Dive - Cascade Manufacturers Guarantee.pdf,Autex,CAD_Files,acoustic_screens,3,0,Text Only
Autex Deep Dive - Composition DataSheet NZ_AU.pdf,Autex,Technical_Data_Sheet,acoustic_wall,18,0,Text Only
Autex Deep Dive - Composition Install Instructions.pdf,Autex,Installation_Guide,acoustic_wall,16,0,Text Only
Autex Deep Dive - Composition Lookbook.pdf,Autex,Technical_Manual,acoustic_wall,14,0,Text Only
Autex Deep Dive - Composition Manufacturers Guarantee NZ_AU.pdf,Autex,Technical_Manual,acoustic_wall,5,0,Text Only
Autex Deep Dive - Composition PNS Datasheet.pdf,Autex,Technical_Data_Sheet,acoustic_wall,28,0,Text Only
Autex Deep Dive - Composition PNS Install Instructions.pdf,Autex,Installation_Guide,acoustic_wall,36,0,Text Only
Autex Deep Dive - Composition PNS Lookbook.pdf,Autex,Technical_Manual,acoustic_wall,42,0,Text Only
Autex Deep Dive - Cove Datasheet.pdf,Autex,Technical_Data_Sheet,acoustic_ceiling,22,0,Text Only
Autex Deep Dive - Cove Lookbook.pdf,Autex,Technical_Manual,acoustic_ceiling,8,0,Text Only
Autex Deep Dive - Cove Manufacturers Warranty.pdf,Autex,Warranty,acoustic_general,5,0,Text Only
Autex Deep Dive - Cube Colour Match.pdf,Autex,Color_Chart,acoustic_general,4,0,Text Only
Autex Deep Dive - Cube Datasheet.pdf,Autex,Technical_Data_Sheet,acoustic_wall,24,0,Text Only
Autex Deep Dive - Cube Install Instructions.pdf,Autex,Installation_Guide,acoustic_wall,63,0,Text Only
Autex Deep Dive - Cube Lookbook.pdf,Autex,Technical_Manual,acoustic_wall,8,0,Text Only
Autex Deep Dive - Cube Manufacturers Guarantee.pdf,Autex,Technical_Manual,acoustic_wall,15,0,Text Only
Autex Deep Dive - Custom Surface Finishes guide.pdf,Autex,Installation_Guide,acoustic_wall,13,0,Text Only
Autex Deep Dive - Embrace Install Guide NZ.pdf,Autex,Installation_Guide,acoustic_wall,37,0,Text Only
Autex Deep Dive - Embrace Specification Guide.pdf,Autex,Installation_Guide,acoustic_wall,41,0,Text Only
Autex Deep Dive - Frontier Fin Manufacturers Guarantee.pdf,Autex,Technical_Manual,acoustic_screens,24,0,Text Only
Autex Deep Dive - Frontier Fins Data Sheet.pdf,Autex,Technical_Data_Sheet,acoustic_screens,19,0,Text Only
Autex Deep Dive - Frontier Installation Instructions_Metric.pdf,Autex,Installation_Guide,acoustic_screens,174,0,Text Only
Autex Deep Dive - Frontier Lookbook.pdf,Autex,Technical_Manual,acoustic_screens,29,0,Text Only
Autex Deep Dive - Frontier Raft Data Sheet.pdf,Autex,Technical_Data_Sheet,acoustic_screens,31,0,Text Only
Autex Deep Dive - Frontier Raft Manufacturers Warranty.pdf,Autex,Warranty,acoustic_general,27,0,Text Only
Autex Deep Dive - Grid Ceiling Tiles Install Instructions.pdf,Autex,Installation_Guide,acoustic_ceiling,34,0,Text Only
Autex Deep Dive - Grid Ceiling Tiles_Data Sheet.pdf,Autex,Technical_Data_Sheet,acoustic_ceiling,41,0,Text Only
Autex Deep Dive - Grid Ceiling Tiles_Lookbook.pdf,Autex,Technical_Manual,acoustic_ceiling,16,0,Text Only
Autex Deep Dive - Grid Ceiling Tiles_Manufacturers Guarantee.pdf,Autex,Technical_Manual,acoustic_ceiling,25,0,Text Only
Autex Deep Dive - Groove Information Sheet.pdf,Autex,Technical_Manual,acoustic_wall,10,0,Text Only
Autex Deep Dive - Groove Install Instructions.pdf,Autex,Installation_Guide,acoustic_wall,57,0,Text Only
Autex Deep Dive - Groove Specification Guide NZ.pdf,Autex,Installation_Guide,acoustic_wall,149,0,Text Only
Autex Deep Dive - Highly Humid Environments.pdf,Autex,Technical_Manual,acoustic_ceiling,27,0,Text Only
Autex Deep Dive - Horizon Data Sheet.pdf,Autex,Technical_Data_Sheet,acoustic_ceiling,55,0,Text Only
