filename,brand,category,doc_type,trade,agent_text_chunks,agent_visual_assets,ingest_status,agent_zone
GreenStuf Deep Dive - AAB Datasheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,acoustic_insulation,11,0,Text Only,Product Rep
GreenStuf Deep Dive - AAB Install Instructions.pdf,GreenStuf,GreenStuf Deep Dive,Installation_Guide,acoustic_insulation,13,0,Text Only,Product Rep
GreenStuf Deep Dive - ADW Autex Duct Wrap Datasheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,duct_insulation,8,0,Text Only,Product Rep
GreenStuf Deep Dive - ARD Autex Rigid Duct Liner Datasheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,duct_insulation,7,0,Text Only,Product Rep
GreenStuf Deep Dive - ASB Datasheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,acoustic_insulation,10,0,Text Only,Product Rep
GreenStuf Deep Dive - Baffleblock Datasheet.pdf,GreenStuf,GreenStuf Deep Dive,Technical_Data_Sheet,acoustic_insulation,10,0,Text Only,Product Rep
GreenStuf Deep Dive - Downlight Installation Guide.pdf,GreenStuf,GreenStuf Deep Dive,Product_Guide,general_insulation,5,0,Text Only,Product Rep
GreenStuf Deep Dive - Existing-Homes Brochure.pdf,GreenStuf,GreenStuf Deep Dive,Product_Guide,general_insulation,30,0,Text Only,Product Rep
GreenStuf Deep Dive - GIB Noise Control Systems.pdf,GreenStuf,GreenStuf Deep Dive,Product_Guide,acoustic_insulation,4,0,Text Only,Product Rep
GreenStuf Deep Dive - GS Durability Warranty.pdf,GreenStuf,GreenStuf Deep Dive,Warranty,general_insulation,3,0,Text Only,Product Rep
GreenStuf Deep Dive - GS Residential Guide .pdf,GreenStuf,GreenStuf Deep Dive,Product_Guide,general_insulation,42,0,Text Only,Product Rep
