agent_zone,category,brand,filename,file_size_mb,ingest_status,text_chunks,visual_assets,db_source,storage_path
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-Char-Oil-Abodo-Wood.pdf,0.48,Ingested,3,0,Abodo Wood - Technical-Data-Sheet-Char-Oil-Abodo-Wood,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-Char-Oil-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-Cladding-Screw-Abodo-Wood.pdf,0.48,Ingested,4,0,Abodo Wood - Technical-Data-Sheet-Cladding-Screw-Abodo-Wood,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-Cladding-Screw-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-Decking-Screw-Abodo-Wood.pdf,0.49,Ingested,2,0,Abodo Wood - Technical-Data-Sheet-Decking-Screw-Abodo-Wood,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-Decking-Screw-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-Iron-Vitriol.pdf,0.25,Ingested,6,0,Abodo Wood - Technical-Data-Sheet-Iron-Vitriol,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-Iron-Vitriol.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-Protector-End-Seal-Abodo-Wood.pdf,0.73,Ingested,3,0,Abodo Wood - Technical-Data-Sheet-Protector-End-Seal-Abodo-Wood,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-Protector-End-Seal-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-Rejuvenator-Abodo-Wood.pdf,0.08,Ingested,2,0,Abodo Wood - Technical-Data-Sheet-Rejuvenator-Abodo-Wood,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-Rejuvenator-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-Rhombus-Clip-Abodo-Wood.pdf,2.16,Ingested,15,0,Abodo Wood - Technical-Data-Sheet-Rhombus-Clip-Abodo-Wood,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-Rhombus-Clip-Abodo-Wood.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-Vulcan-Cladding-Abodo-Wood-New-Zealand.pdf,2.93,Ingested,21,0,Abodo Wood - Technical-Data-Sheet-Vulcan-Cladding-Abodo-Wood-New-Zealand,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-Vulcan-Cladding-Abodo-Wood-New-Zealand.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-Vulcan-Cladding-Vertical-Grain-Standard-Series-NZ.pdf,0.73,Ingested,18,0,Abodo Wood - Technical-Data-Sheet-Vulcan-Cladding-Vertical-Grain-Standard-Series-NZ,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-Vulcan-Cladding-Vertical-Grain-Standard-Series-NZ.pdf
Product Rep,A_Structure,Abodo Wood,Technical-Data-Sheet-Vulcan-Decking-Abodo-Wood.pdf,0.28,Ingested,9,0,Abodo Wood - Technical-Data-Sheet-Vulcan-Decking-Abodo-Wood,A_Structure/Abodo_Wood/Technical_Data_Sheets/Technical-Data-Sheet-Vulcan-Decking-Abodo-Wood.pdf
