brand,product,doc_type,codemark_id,branz_number,expiry_date,is_expired,status,bpir_status,scope_limitations
B_Enclosure,IBS - RigidRAP - Installation Guide (PlaceMakers),Unknown,Explained,,,UNKNOWN,CONDITIONAL,UNDECLARED,"• Wall lengths no greater than twice the tested system 
length."
B_Enclosure,IBS - RigidRAP XT - Installation Guide May 2022,Unknown,70091,,,UNKNOWN,CONDITIONAL,UNDECLARED,"•	 Wall lengths no greater than twice the tested 
system length."
B_Enclosure,Innova - Duragrid - Design and Installation Guide NZ August ,Unknown,,600,,UNKNOWN,CONDITIONAL,UNDECLARED,"2 storeys in 
height."
B_Enclosure,Innova - Duragroove Durascape - Design and Installation Guid,Unknown,,2908,,UNKNOWN,CONDITIONAL,UNDECLARED,to the fullest extend allowed by the law.
B_Enclosure,Innova - Nuline - Design and Installation Guide NZ August 20,Unknown,,640,,UNKNOWN,CONDITIONAL,UNDECLARED,"to the fullest extend allowed 
by the law."
B_Enclosure,JSC - BevelClad - Installation and Spec Guide v3.6 (MASTER),Unknown,NZ30082,468,,UNKNOWN,CONDITIONAL,UNDECLARED,"eye, 
ear and breathing protection for you and others who 
could be affected."
B_Enclosure,JSC - Board and Batten - Installation and Spec Guide (MASTER,Unknown,NZ30083,468,,UNKNOWN,CONDITIONAL,UNDECLARED,"eye, 
ear and breathing protection for you and others who 
could be affected."
B_Enclosure,JSC - RustiClad - CAD Set 20mm Flexible Underlay,Unknown,NZ30081,468,,UNKNOWN,CONDITIONAL,UNDECLARED,"eye, 
ear and breathing protection for you and others who 
could be affected."
B_Enclosure,JSC - RustiClad - Installation and Specification Guide,Unknown,certificat,468,,UNKNOWN,CONDITIONAL,UNDECLARED,"a nominal 20 mm thick 
cavity battens."
B_Enclosure,JSC - VertiClad - Installation Guide (v3.6 Master),Unknown,certificat,411,,UNKNOWN,CONDITIONAL,UNDECLARED,"eye, 
ear and respiratory protection for you and others 
who could be affected."
B_Enclosure,JSC - VertiClad - Installation Guide v3.6 (MASTER),Unknown,certificat,411,,UNKNOWN,CONDITIONAL,UNDECLARED,"eye, 
ear and respiratory protection for you and others 
who could be affected."
B_Enclosure,MC1000 - BPIS Building Product Information Sheet,Unknown,Certificat,,,UNKNOWN,CONDITIONAL,UNDECLARED,"unlined buildings 
only and buildings with importance level 1."
B_Enclosure,MC760 - BPIS Building Product Information Sheet,Unknown,Certificat,,,UNKNOWN,CONDITIONAL,UNDECLARED,"unlined buildings 
only and buildings with importance level 1."
B_Enclosure,Marshall - Tekton Weatherization System - Installation Guide,Unknown,,9001,,UNKNOWN,CONDITIONAL,UNDECLARED,replacement of the products only.
